,hands,7-4-3-2,8-4-3-2,9-4-3-2,T-4-3-2,J-4-3-2
98,T-9-7-4-2,58.84,59.48,57.92,59.16,100.0
99,T-9-7-4-3,57.64,58.44,57.84,59.4,100.0
100,T-9-7-5-2,60.92,62.68,60.68,61.84,100.0
101,T-9-7-5-3,60.16,63.72,59.36,58.96,100.0
102,T-9-7-5-4,60.12,64.44,61.0,60.64,100.0
103,T-9-7-6-2,61.96,61.36,60.56,61.56,100.0
104,T-9-7-6-3,58.96,61.84,61.0,60.08,100.0
105,T-9-7-6-4,59.96,63.0,61.08,60.68,100.0
106,T-9-7-6-5,63.52,65.76,61.68,61.64,100.0
107,T-9-8-3-2,62.84,57.24,58.08,57.96,100.0
108,T-9-8-4-2,62.16,57.32,57.52,58.76,100.0
109,T-9-8-4-3,60.6,58.48,59.76,59.08,100.0
110,T-9-8-5-2,63.2,59.68,61.4,60.48,100.0
111,T-9-8-5-3,61.36,61.12,62.56,59.76,100.0
112,T-9-8-5-4,63.48,59.96,59.32,58.92,100.0
113,T-9-8-6-2,63.28,60.8,59.76,60.24,100.0
114,T-9-8-6-3,64.4,58.68,59.72,61.16,100.0
115,T-9-8-6-4,62.8,60.32,59.76,59.56,100.0
116,T-9-8-6-5,65.44,62.72,64.08,62.8,100.0
117,T-9-8-7-2,60.56,60.52,61.68,60.04,100.0
118,T-9-8-7-3,59.68,59.96,59.72,59.92,100.0
119,T-9-8-7-4,59.2,60.48,60.36,59.8,100.0
120,T-9-8-7-5,62.56,63.12,62.96,63.96,100.0
121,J-5-4-3-2,55.4,56.4,57.8,56.6,100.0
122,J-6-4-3-2,56.96,56.56,55.96,54.76,90.0
123,J-6-5-3-2,57.92,59.24,59.64,59.48,86.52
124,J-6-5-4-2,60.76,57.08,58.12,58.0,86.56
125,J-6-5-4-3,56.4,56.8,59.72,57.16,85.2
126,J-7-4-3-2,51.72,54.36,56.44,54.48,81.92
127,J-7-5-3-2,46.92,59.52,56.96,58.8,76.44
128,J-7-5-4-2,48.76,57.36,58.48,57.72,76.4
129,J-7-5-4-3,48.56,56.96,59.52,58.24,77.08
130,J-7-6-3-2,49.08,58.84,58.6,56.6,78.72
131,J-7-6-4-2,49.16,57.36,57.44,57.52,78.12
132,J-7-6-4-3,48.68,58.96,55.92,57.2,77.56
133,J-7-6-5-2,50.88,60.48,60.52,62.08,77.64
134,J-7-6-5-3,52.48,60.96,59.4,60.68,80.6
135,J-7-6-5-4,50.88,59.92,61.28,61.16,78.24
136,J-8-4-3-2,49.44,53.24,56.36,56.6,72.68
137,J-8-5-3-2,51.56,48.44,58.84,58.56,67.08
138,J-8-5-4-2,50.12,48.64,58.04,57.76,68.2
139,J-8-5-4-3,50.64,50.32,59.56,58.32,65.68
140,J-8-6-3-2,50.72,48.6,59.04,56.04,66.72
141,J-8-6-4-2,52.32,49.4,59.24,57.68,67.8
142,J-8-6-4-3,50.96,49.4,57.84,60.32,67.84
143,J-8-6-5-2,52.76,50.36,61.28,59.88,69.24
144,J-8-6-5-3,53.2,51.8,59.56,60.36,70.56
145,J-8-6-5-4,53.28,52.76,60.6,60.28,70.64
146,J-8-7-3-2,50.56,48.52,58.44,58.8,67.8
147,J-8-7-4-2,50.28,49.16,59.12,57.48,67.4
148,J-8-7-4-3,49.16,48.28,57.68,57.44,67.56
149,J-8-7-5-2,50.92,51.44,61.12,59.28,67.88
150,J-8-7-5-3,50.76,52.04,61.04,61.24,68.6
151,J-8-7-5-4,49.88,50.8,60.68,61.32,69.48
152,J-8-7-6-2,51.76,51.28,61.0,60.16,69.52
153,J-8-7-6-3,52.52,51.8,60.52,61.48,70.48
154,J-8-7-6-4,50.4,51.0,60.04,59.72,69.08
155,J-8-7-6-5,54.12,54.72,63.96,64.2,69.28
156,J-9-4-3-2,49.04,49.32,55.36,54.96,61.28
157,J-9-5-3-2,51.44,52.16,48.8,58.4,57.52
158,J-9-5-4-2,51.16,51.24,48.4,58.88,59.12
159,J-9-5-4-3,53.12,50.0,49.72,58.04,54.8
160,J-9-6-3-2,50.76,51.52,47.92,59.36,59.08
161,J-9-6-4-2,52.24,51.76,47.44,58.8,58.68
162,J-9-6-4-3,50.32,51.24,48.04,58.24,58.56
163,J-9-6-5-2,55.28,53.36,48.96,61.08,59.96
164,J-9-6-5-3,53.28,53.2,51.84,60.96,60.16
165,J-9-6-5-4,53.32,52.84,50.64,61.68,60.6
166,J-9-7-3-2,47.64,50.76,46.76,57.96,59.0
167,J-9-7-4-2,49.96,50.84,48.12,58.0,57.92
168,J-9-7-4-3,47.48,50.16,49.2,56.72,56.92
169,J-9-7-5-2,52.44,51.6,50.6,59.04,59.88
170,J-9-7-5-3,51.64,52.04,52.2,60.8,61.12
171,J-9-7-5-4,50.84,54.08,51.24,59.92,59.4
172,J-9-7-6-2,53.44,53.68,50.0,61.08,60.4
173,J-9-7-6-3,51.48,53.32,49.68,60.96,59.4
174,J-9-7-6-4,49.92,54.36,50.16,58.64,59.92
175,J-9-7-6-5,54.64,54.8,54.08,62.24,62.56
176,J-9-8-3-2,51.0,48.2,48.96,57.8,58.44
177,J-9-8-4-2,51.32,47.88,50.4,58.56,58.96
178,J-9-8-4-3,51.96,49.4,49.92,58.8,59.16
179,J-9-8-5-2,53.48,50.52,50.8,61.68,61.32
180,J-9-8-5-3,55.12,49.4,51.08,59.72,60.56
181,J-9-8-5-4,53.96,53.0,53.08,61.64,60.8
182,J-9-8-6-2,54.76,50.96,51.96,59.84,59.88
183,J-9-8-6-3,51.96,50.56,51.4,61.36,61.24
184,J-9-8-6-4,54.8,50.84,50.44,61.16,60.68
185,J-9-8-6-5,54.56,55.76,51.56,62.52,62.6
186,J-9-8-7-2,50.88,52.48,51.4,59.6,62.32
187,J-9-8-7-3,51.04,50.32,51.52,60.12,59.48
188,J-9-8-7-4,52.16,49.92,52.28,62.4,59.56
189,J-9-8-7-5,54.36,53.92,51.2,62.48,63.28
190,J-9-8-7-6,53.44,53.64,53.64,63.36,63.56
